Enlace;ID;Sitio;ultima IP;IP;Mask;
Lolotiquillo > Delicias de Concepci¢n;#N/D;Lolotiquillo ;172.17.52.98;172.17.52.97;255.255.255.252;
;#N/D;Delicias de Concepci¢n;172.17.53.230;172.17.53.225;255.255.255.248;
Delicias de Concepci¢n > San Fracisco Gotera;#N/D;Delicias de Concepci¢n;172.17.53.230;172.17.53.226;255.255.255.248;
;391301;San Francisco Gotera;172.17.53.62;172.17.53.39;255.255.255.224;
Concepcion de Oriente > Cerro Conchagua;391416;Concepcion de Oriente;172.17.37.54;172.17.37.49;255.255.255.248;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.14;255.255.255.0;
CUYULTITAN > Aeropuerto;390216;CUYULTITAN;172.17.1.86;172.17.1.81;255.255.255.248;
;390204;Aeropuerto;172.16.1.254;172.16.1.18;255.255.255.0;
Cara Sucia > Garita Palmera;390909;Cara Sucia;172.17.8.70;172.17.8.69;255.255.255.252;
;#N/D; Garita Palmera;172.17.9.94;172.17.9.67;255.255.255.224;
ARCATAO > Nueva Trinidad;391048;ARCATAO;172.17.16.66;172.17.16.65;255.255.255.252;
;391019;Nueva Trinidad;172.17.18.99;172.17.18.98;255.255.255.248;
Osicala 2 > Perqu¡n;#N/D;Osicala 2 ;172.17.52.102;172.17.52.101;255.255.255.252;
;#N/D;Perqu¡n;172.17.53.190;172.17.53.162;255.255.255.224;
Tecoluca Pueblo  > El Play¢n;391109;Tecoluca Pueblo;172.17.28.22;172.17.28.21;255.255.255.252;
;#N/D; El Play¢n;172.17.29.30;172.17.29.25;255.255.255.248;
El Play¢n > Zacatecoluca;#N/D;El Play¢n ;172.17.29.30;172.17.29.26;255.255.255.248;
;390201;Zacatecoluca;172.16.8.254;172.16.8.5;255.255.255.0;
Tonacatepeque > San Miguelito;391571;Tonacatepeque;172.17.25.14;172.17.25.1;255.255.255.240;
;391512;San Miguelito;172.16.7.254;172.16.7.4;255.255.255.0;
El Paisnal > Aguilares;391574;El Paisnal;172.17.16.70;172.17.16.69;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.36;255.255.255.0;
EL COYOLITO  > Aguilares;391029;EL COYOLITO;172.17.18.134;172.17.18.129;255.255.255.248;
;391572;Aguilares;172.17.17.254;172.17.17.37;255.255.255.0;
CARRETERA LOS NARANJOS > Santa Ana 2;390721;CARRETERA LOS NARANJOS;172.17.12.14;172.17.12.13;255.255.255.252;
;#N/D;Santa Ana 2;172.16.4.254;172.16.4.4;255.255.255.0;
CONCEPCION QUEZALTEPEQUE > Cerro Pacho;391024;CONCEPCION QUEZALTEPEQUE;172.17.4.38;172.17.4.37;255.255.255.252;
;391043;Cerro Pacho;172.16.2.254;172.16.2.14;255.255.255.0;
EL PARAISO > Los Ranchos;391025;EL PARAISO;172.17.16.78;172.17.16.77;255.255.255.252;
;391021;San antonio los ranchos;172.17.18.94;172.17.18.68;255.255.255.224;
GUAJOYO > El Faro;390718;GUAJOYO;172.17.5.126;172.17.5.121;255.255.255.248;
;390703;El Faro;172.16.2.254;172.16.2.15;255.255.255.0;
SANTO TOMAS TEXISTEPEQUE > Guajoyo;390722;SANTO TOMAS TEXISTEPEQUE;172.17.4.46;172.17.4.45;255.255.255.252;
;390718;Guajoyo;172.17.5.126;172.17.5.122;255.255.255.248;
SAN ANTONIO PAJONAL  > Metap n 1;#N/D;SAN ANTONIO PAJONAL;172.17.4.50;172.17.4.49;255.255.255.252;
;#N/D;Metap n 1;172.17.5.62;172.17.5.51;255.255.255.240;
TEXISTEPEQUE > El Faro;390717;TEXISTEPEQUE;172.17.4.42;172.17.4.41;255.255.255.252;
;390703;El Faro;172.16.2.254;172.16.2.16;255.255.255.0;
Cacahualejo > Sociedad;#N/D;Cacatahualejo;172.17.52.106;172.17.52.105;255.255.255.252;
;391314;Sociedad;172.17.53.238;172.17.53.234;255.255.255.248;
Las Marias (Dev¡o a Sociedad) > La Calavera;#N/D;Las Marias (Dev¡o a Sociedad) ;172.17.52.110;172.17.52.109;255.255.255.252;
;#N/D;La Calavera;172.17.53.246;172.17.53.242;255.255.255.248;
SAN ISIDRO MORAZAN > Cacahuatique;#N/D;SAN ISIDRO MORAZAN ;172.17.52.114;172.17.52.113;255.255.255.252;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.135;255.255.255.224;
San Miguel 53 Los Pilones > San Miguel 3;390657;San Miguel 53 Los Pilones;172.17.56.10;172.17.56.9;255.255.255.252;
;390603;San miguel III;172.16.15.254;172.16.15.3;255.255.255.0;
San Luis de la Reina > Cacahuatique;#N/D;San Luis de la Reina;172.17.53.250;172.17.53.249;255.255.255.240;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.136;255.255.255.224;
Jocoro > Sociedad;391302;Jocoro;172.17.52.118;172.17.52.117;255.255.255.252;
;391314;Sociedad;172.17.53.238;172.17.53.235;255.255.255.248;
La Calavera > Torrecillas;#N/D;La Calavera;172.17.53.246;172.17.53.241;255.255.255.248;
;#N/D;Torrecillas;172.17.53.30;172.17.53.6;255.255.255.224;
Yucuaiquin > Torrecillas;#N/D;Yucuaiquin ;172.17.52.38;172.17.52.37;255.255.255.252;
;#N/D;Torrecillas;172.17.53.30;172.17.53.4;255.255.255.224;
Los Mojones > Torrecillas;391446;Los Mojones;172.17.52.122;172.17.52.121;255.255.255.252;
;#N/D;Torrecillas;172.17.53.30;172.17.53.8;255.255.255.224;
San Juan Talpa > Aeropuerto;390224;San Juan Talpa;172.17.0.122;172.17.0.121;255.255.255.252;
;390204;Aeropuerto;172.16.1.254;172.16.1.19;255.255.255.0;
San Marcos Lempa > El Play¢n [cambio Idu);391217;San Marcos Lempa;172.17.28.26;172.17.28.25;255.255.255.252;
;#N/D;El Play¢n;172.17.29.30;172.17.29.27;255.255.255.248;
San Pedro Masahuat > Aeropuerto;390213;San Pedro Masahuat;172.17.0.126;172.17.0.125;255.255.255.252;
;390204;Aeropuerto;172.16.1.254;172.16.1.20;255.255.255.0;
San Pedro Nonualco > Santa Cruz Analquito;390222;San Pedro Nonualco;172.17.18.126;172.17.18.121;255.255.255.248;
;390306;Santa Cruz Analquito;172.17.18.54;172.17.18.49;255.255.255.248;
San Pedro Perulap n > Chalatenango;#N/D;San Pedro Perulap n;172.17.16.86;172.17.16.85;255.255.255.252;
;391003;Chalatenango;172.17.17.254;172.17.17.3;255.255.255.0;
Santa Cruz Analquito > Cojutepeque;390306;Santa Cruz Analquito;172.17.18.54;172.17.18.50;255.255.255.248;
;390302;Cojutepeque;172.16.5.254;172.16.5.12;255.255.255.0;
Santa Cruz Michapa > San Mart¡n;390308;Santa Cruz Michapa;172.17.24.14;172.17.24.13;255.255.255.252;
;#N/D;San Mart¡n;172.16.7.254;172.16.7.6;255.255.255.0;
Santo Domingo > San Sebasti n San Vicente;391111;Santo Domingo;172.17.32.22;172.17.32.21;255.255.255.252;
;#N/D;San Sebasti n San Vicente;172.17.33.30;172.17.33.26;255.255.255.248;
Izalco > Sonsonate 1;390806;Izalco;172.17.9.102;172.17.9.97;255.255.255.248;
;#N/D;Sonsonate 1;172.16.3.254;172.16.3.15;255.255.255.0;
Costa del sol 2;#N/D;Costa del Sol 2;172.17.1.30;172.17.1.25;255.255.255.248;
;390205;Comalapa;172.16.1.254;172.16.1.21;255.255.255.0;
el carmen la union;391411;El Carmen La Union;172.17.36.66;172.17.36.65;255.255.255.252;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.15;255.255.255.0;
HATO NUEVO > Torrecillas;391409;HATO NUEVO;172.17.52.126;172.17.52.125;255.255.255.252;
;#N/D;Torrecillas;172.17.53.30;172.17.53.9;255.255.255.224;
SAN JOSE LA FUENTE > Torrecillas;#N/D;SAN JOSE LA FUENTE ;172.17.52.130;172.17.52.129;255.255.255.252;
;#N/D;Torrecillas;172.17.53.30;172.17.53.10;255.255.255.224;
San Carlos Moraz n > San Francisco Gotera;#N/D;San Carlos Moraz n;172.17.54.14;172.17.54.9;255.255.255.248;
;391301;San Francisco Gotera;172.17.53.62;172.17.53.40;255.255.255.224;
Sirama > Miraflores;391406;Sirama;172.17.36.74;172.17.36.73;255.255.255.252;
;390608;Miraflores;172.17.37.70;172.17.37.67;255.255.255.248;
Intipuca > El Tamarindo;#N/D;Intipuca ;172.17.36.70;172.17.36.69;255.255.255.252;
;391405;El Tamarindo;172.17.37.94;172.17.37.84;255.255.255.240;
Monte San Juan > Cojutepeque;390321;Monte San Juan;172.17.16.90;172.17.16.89;255.255.255.252;
;390302;Cojutepeque;172.16.5.254;172.16.5.13;255.255.255.0;
Garita Palmera > Apaneca;#N/D;Garita Palmera ;172.17.9.94;172.17.9.65;255.255.255.224;
;#N/D;Apaneca;172.17.9.62;172.17.9.4;255.255.255.192;
Artiller¡a > Arenera;#N/D;Artiller¡a;172.17.0.130;172.17.0.129;255.255.255.252;
;390408;Arenera;172.16.1.254;172.16.1.22;255.255.255.0;
Gotera 4 > San Francisco de Gotera ;391317;Gotera 4;172.17.52.10;172.17.52.9;255.255.255.252;
;#N/D;San Francisco de Gotera ;172.17.53.62;172.17.53.35;255.255.255.224;
Vistamar > Carretera a la Libertad 2;#N/D;Vistamar ;172.17.1.62;172.17.1.33;255.255.255.224;
;#N/D;Carretera a la Libertad 2;172.16.1.254;172.16.1.23;255.255.255.0;
Majahual > Vistamar;390469;Majahual;172.17.0.134;172.17.0.133;255.255.255.252;
;390403;Vistamar;172.17.1.62;172.17.1.36;255.255.255.224;
Carretera a Las Chinamas  >Cach¡o;390910;Carretera a Las Chinamas;172.17.12.18;172.17.12.17;255.255.255.252;
;#N/D;Cach¡o;172.17.13.30;172.17.13.2;255.255.255.224;
Cach¡o > Santa Ana 2;#N/D;Cach¡o;172.17.13.30;172.17.13.1;255.255.255.224;
;#N/D;Santa Ana 2;172.16.4.254;172.16.4.5;255.255.255.0;
Cutumay Camones > El Faro;#N/D;Cutumay Camones ;172.17.4.54;172.17.4.53;255.255.255.252;
;#N/D; El Faro;172.16.2.254;172.16.2.17;255.255.255.0;
El Jocotal > Jucuar n ;#N/D;El Jocotal ;172.17.36.82;172.17.36.81;255.255.255.252;
;#N/D;Jucuar n ;172.17.37.110;172.17.37.98;255.255.255.240;
Jucuar n  > La Concordia;#N/D;Jucuar n ;172.17.37.110;172.17.37.97;255.255.255.240;
;391203;La Concordia;172.16.10.254;172.16.10.17;255.255.255.0;
Quebrada Seca > San Sim¢n;#N/D;Quebrada Seca ;172.17.52.138;172.17.52.137;255.255.255.252;
;#N/D;San Sim¢n;172.17.53.78;172.17.53.74;255.255.255.248;
Tenancingo > Lomas de San Francisco;390305;Tenancingo;172.17.21.6;172.17.21.1;255.255.255.248;
;391508;Lomas de San Francisco;172.16.6.254;172.16.6.2;255.255.255.0;
Llano de Santiago > San Francisco Gotera;391320;Llano de Santiago;172.17.52.22;172.17.52.21;255.255.255.252;
;391301;San Francisco Gotera;172.17.53.62;172.17.53.38;255.255.255.224;
Chilanga > San Francisco Gotera;391319;Chilanga;172.17.52.18;172.17.52.17;255.255.255.252;
;391301;San Francisco Gotera;172.17.53.62;172.17.53.37;255.255.255.224;
Miraflores > El Delirio;390608;Miraflores;172.17.37.70;172.17.37.65;255.255.255.248;
;#N/D; El Delirio;172.16.10.254;172.16.10.16;255.255.255.0;
San Alejo 2 > Miraflores;391429;San Alejo 2;172.17.36.78;172.17.36.77;255.255.255.252;
;390608;Miraflores;172.17.37.70;172.17.37.68;255.255.255.248;
Ojos de Agua > Cant¢n el Zapotal;391044;Ojos de Agua;172.17.16.94;172.17.16.93;255.255.255.252;
;#N/D;Cant¢n el Zapotal;172.17.18.62;172.17.18.58;255.255.255.248;
San Sim¢n > Mercedes Uma¤a;#N/D;San Sim¢n ;172.17.53.78;172.17.53.73;255.255.255.248;
;#N/D;Mercedes Uma¤a;172.16.14.254;172.16.14.15;255.255.255.0;
Nueva Granada > Lolotique;391244;Nueva Granada;172.17.52.142;172.17.52.141;255.255.255.252;
;390604;Lolotique;172.17.53.126;172.17.53.101;255.255.255.224;
Jucuapa > Lolotique;391238;Jucuapa;172.17.52.146;172.17.52.145;255.255.255.252;
;390604;Lolotique;172.17.53.126;172.17.53.102;255.255.255.224;
El Bejuco > El Faro;390742;El Bejuco;172.17.4.58;172.17.4.57;255.255.255.252;
;390703;El Faro;172.16.2.254;172.16.2.18;255.255.255.0;
Rosario de la Paz > Aeropuerto;390235;Rosario de la Paz;172.17.0.138;172.17.0.137;255.255.255.252;
;390204;Aeropuerto;172.16.1.254;172.16.1.24;255.255.255.0;
Santiago Texacuango > El Chulo;#N/D;Santiago Texacuango;172.17.0.142;172.17.0.141;255.255.255.252;
;391551;El Chulo;172.16.1.254;172.16.1.25;255.255.255.0;
Chalatenango > Cojutepeque;391003;Chalatenango;172.17.17.254;172.17.17.1;255.255.255.0;
;390302;Cojutepeque;172.16.5.254;172.16.5.14;255.255.255.0;
San Sim¢n Gualococti > Perqu¡n;#N/D;San Sim¢n Gualococti ;172.17.52.154;172.17.52.153;255.255.255.252;
;#N/D;Perqu¡n;172.17.53.190;172.17.53.163;255.255.255.224;
Torola > Cacahuatique;391306;Torola;172.17.54.6;172.17.54.1;255.255.255.248;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.137;255.255.255.224;
El Embalse > Nombre de Jes£s;#N/D;El Embalse;172.17.16.98;172.17.16.97;255.255.255.252;
;#N/D;Nombre de Jes£s;172.17.18.110;172.17.18.106;255.255.255.248;
El Tabl¢n valle afuera > La Uni¢n;#N/D;El Tabl¢n valle afuera;172.17.36.86;172.17.36.85;255.255.255.252;
;#N/D;La Uni¢n;172.17.37.14;172.17.37.3;255.255.255.240;
Arambala > Cacahuatique;391313;Arambala;172.17.52.150;172.17.52.149;255.255.255.252;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.138;255.255.255.224;
AZACUALPA > Los Ranchos;391028;AZACUALPA;172.17.16.102;172.17.16.101;255.255.255.252;
;391021;San antonio los ranchos;172.17.18.94;172.17.18.67;255.255.255.224;
Carretare Tecoluca (La Joya) > Aeropuerto;#N/D;Carretare Tecoluca (La Joya);172.17.0.146;172.17.0.145;255.255.255.252;
;390204;Aeropuerto;172.16.1.254;172.16.1.26;255.255.255.0;
CHIRILAGUA > Tamarindo;390624;CHIRILAGUA;172.17.36.90;172.17.36.89;255.255.255.252;
;#N/D;Tamarindo;172.17.37.94;172.17.37.85;255.255.255.240;
Portezuelo > Santa Ana 2;390757;Portezuelo;172.17.12.22;172.17.12.21;255.255.255.252;
;#N/D;Santa Ana 2;172.16.4.254;172.16.4.6;255.255.255.0;
El N£cleo 1 y 2 > Chalatenango;#N/D;El N£cleo 1 y 2;172.17.16.130;172.17.16.129;255.255.255.252;
;391003;Chalatenango;172.17.17.254;172.17.17.4;255.255.255.0;
Carolina > Torola;390636;Carolina;172.17.52.158;172.17.52.157;255.255.255.252;
;391306;Torola;172.17.54.6;172.17.54.2;255.255.255.248;
Pasaquina > Cerro Conchagua;391404;Pasaquina;172.17.37.30;172.17.37.17;255.255.255.240;
;391458;Cerro Conchagua;172.16.10.254;172.16.10.18;255.255.255.0;
Las Mar¡as Chinamecas > Jucuar n;#N/D;Las Mar¡as Chinamecas;172.17.36.94;172.17.36.93;255.255.255.252;
;#N/D;Jucuar n;172.17.37.110;172.17.37.100;255.255.255.240;
ATEOS 2 > Lourdes;390447;ATEOS 2;172.17.0.150;172.17.0.149;255.255.255.252;
;390406;Lourdes;172.16.1.254;172.16.1.27;255.255.255.0;
Jayaque 2 > Lourdes;390451;Jayaque 2;172.17.0.154;172.17.0.153;255.255.255.252;
;390406;Lourdes;172.16.1.254;172.16.1.28;255.255.255.0;
Col¢n > Lourdes;#N/D;Col¢n;172.17.0.158;172.17.0.157;255.255.255.252;
;390406;Lourdes;172.16.1.254;172.16.1.29;255.255.255.0;
Guadalupe > Cerro Grande;391118;Guadalupe;172.17.32.26;172.17.32.25;255.255.255.252;
;391102;Cerro Grande;172.16.9.254;172.16.9.7;255.255.255.0;
Verapaz > Cerro Grande;#N/D;Verapaz ;172.17.32.30;172.17.32.29;255.255.255.252;
;#N/D; Cerro Grande;172.16.9.254;172.16.9.8;255.255.255.0;
San Lorenzo San Vicente >  Cerro Grande;391116;San Lorenzo San Vicente;172.17.32.34;172.17.32.33;255.255.255.252;
;391102;Cerro Grande;172.16.9.254;172.16.9.9;255.255.255.0;
San Esteban Catarina > Cerro Grande;391115;San Esteban Catarina;172.17.32.38;172.17.32.37;255.255.255.252;
;391102;Cerro Grande;172.16.9.254;172.16.9.10;255.255.255.0;
Quesera Abajo > Cojutepeque;390506;Quesera Abajo;172.17.18.118;172.17.18.113;255.255.255.248;
;390302;Cojutepeque;172.16.5.254;172.16.5.15;255.255.255.0;
La Labor > Cojutepeque;390510;La Labor;172.17.16.106;172.17.16.105;255.255.255.252;
;#N/D; Cojutepeque;172.16.5.254;172.16.5.16;255.255.255.0;
El Triunfo (San Buenaventura) > Lolotique;391213;El Triunfo (San Buenaventura);172.17.52.162;172.17.52.161;255.255.255.252;
;390604;Lolotique;172.17.53.126;172.17.53.103;255.255.255.224;
Embarcadero > La Uni¢n;391408;Embarcadero;172.17.36.98;172.17.36.97;255.255.255.252;
;#N/D;La Uni¢n;172.17.37.14;172.17.37.4;255.255.255.240;
Guacotecti > Sensuntepeque;390505;Guacotecti;172.17.16.110;172.17.16.109;255.255.255.252;
;390502;Sensuntepeque;172.17.18.30;172.17.18.18;255.255.255.240;
Metayate > Cerro Pacho;391030;Metayate;172.17.4.62;172.17.4.61;255.255.255.252;
;391043;Cerro Pacho;172.16.2.254;172.16.2.6;255.255.255.0;
Oratorio de Concepci¢n  > Tenancingo;#N/D;Oratorio de Concepci¢n;172.17.20.6;172.17.20.5;255.255.255.252;
;390305;Tenancingo;172.17.21.6;172.17.21.2;255.255.255.248;
San Agust¡n > La Concordia;391210;San Agustin;172.17.28.30;172.17.28.29;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.6;255.255.255.0;
San Antonio Silva > Miraflores;390629;San Antonio Silva;172.17.36.102;172.17.36.101;255.255.255.252;
;390608;Miraflores;172.17.37.70;172.17.37.66;255.255.255.248;
San Francisco Javier > La Concordia;391209;San Francisco Javier;172.17.28.33;172.17.28.33;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.7;255.255.255.0;
San Francisco Morazan > Aguilares;#N/D;San Francisco Morazan;172.17.16.114;172.17.16.113;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.38;255.255.255.0;
San Isidro > Quesera Abajo;#N/D;San Isidro ;172.17.16.118;172.17.16.117;255.255.255.252;
;390506;Quesera Abajo;172.17.18.118;172.17.18.114;255.255.255.248;
San Miguel de Mercedes > Los Ranchos;391027;San Miguel de Mercedes;172.17.16.122;172.17.16.121;255.255.255.252;
;391021;San antonio los ranchos;172.17.18.94;172.17.18.69;255.255.255.224;
San Ram¢n > San Pedro Nonualco;#N/D;San Ram¢n;172.17.16.126;172.17.16.125;255.255.255.252;
;390222;San Pedro Nonualco;172.17.18.126;172.17.18.122;255.255.255.248;
Guatajiagua 2 > Cacahuatique;391318;Guatajiagua 2;172.17.52.166;172.17.52.165;255.255.255.252;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.139;255.255.255.224;
Llano el Angel > Cacahuatique;#N/D;Llano el Angel ;172.17.52.170;172.17.52.169;255.255.255.252;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.140;255.255.255.224;
Sesori > Cacahuatique;390646;Sesori;172.17.52.174;172.17.52.173;255.255.255.252;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.141;255.255.255.224;
Canton El Rodeo Sensembra > Cacahuatique;391438;Canton El Rodeo Sensembra;172.17.52.178;172.17.52.177;255.255.255.252;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.142;255.255.255.224;
Corinto 3 > Cacahuatique;#N/D;Corinto 3 ;172.17.52.182;172.17.52.181;255.255.255.252;
;3970003;Cerro cacahuatique;172.17.53.158;172.17.53.143;255.255.255.224;
Aguilares > Chalatenango;391572;Aguilares;172.17.17.254;172.17.17.5;255.255.255.0;
;#N/D; Chalatenango;172.17.17.254;172.17.17.6;255.255.255.0;
Santa Clara > Apastepeque;391114;Santa Clara;172.17.32.46;172.17.32.45;255.255.255.252;
;#N/D; Apastepeque;172.16.9.254;172.16.9.13;255.255.255.0;
Santa Clara 2 > Apastepeque;391117;Santa Clara 2;172.17.32.50;172.17.32.49;255.255.255.252;
;391103;Apastepeque;172.16.9.254;172.16.9.14;255.255.255.0;
Candelaria Cuscatl n > Cojutepeque;#N/D;Candelaria Cuscatl n;172.17.16.146;172.17.16.145;255.255.255.252;
;390302;Cojutepeque;172.16.5.254;172.16.5.17;255.255.255.0;
Victoria > Sensuntepeque;390512;Victoria;172.17.16.150;172.17.16.149;255.255.255.252;
;390502;Sensuntepeque;172.17.18.30;172.17.18.19;255.255.255.240;
Victoria 2 > Sensuntepeque;390513;Victoria 2;172.17.18.46;172.17.18.41;255.255.255.248;
;390502;Sensuntepeque;172.17.18.30;172.17.18.20;255.255.255.240;
Sensuntepeque 2 > Sensuntepeque;#N/D;Sensuntepeque 2;172.17.16.154;172.17.16.153;255.255.255.252;
;390502;Sensuntepeque;172.17.18.30;172.17.18.21;255.255.255.240;
El Zamorano > La Concordia;391228;El Zamorano;172.17.28.38;172.17.28.37;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.8;255.255.255.0;
La Canoa >  La Concordia;391230;La Canoa;172.17.28.42;172.17.28.41;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.9;255.255.255.0;
Isla Mendez >  La Concordia;#N/D;Isla Mendez ;172.17.28.46;172.17.28.45;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.10;255.255.255.0;
Ozatl n > La Concordia;#N/D;Ozatl n;172.17.28.50;172.17.28.49;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.11;255.255.255.0;
Tecap n > La Concordia;#N/D;Tecap n;172.17.28.54;172.17.28.53;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.12;255.255.255.0;
Tierra Blanca Jiquilisco> La Concordia;391232;Tierra Blanca Jiquilisco;172.17.28.58;172.17.28.57;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.13;255.255.255.0;
El Espino > La Concordia;391235;El Espino;172.17.28.62;172.17.28.61;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.14;255.255.255.0;
Puerto Parada 1 > La Concordia;#N/D;Puerto Parada 1 ;172.17.28.66;172.17.28.65;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.15;255.255.255.0;
Puerto Parada 2 > La Concordia;391240;Puerto Parada 2;172.17.28.70;172.17.28.69;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.16;255.255.255.0;
Isla San Sebasti n > La Concordia;#N/D;Isla San Sebasti n ;172.17.28.74;172.17.28.73;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.17;255.255.255.0;
Puerto El Triunfo > La Concordia;#N/D;Puerto El Triunfo ;172.17.28.78;172.17.28.77;255.255.255.252;
;391203;La Concordia;172.16.8.254;172.16.8.18;255.255.255.0;
Papal¢n > San Miguel 3;#N/D;Papal¢n ;172.17.56.30;172.17.56.29;255.255.255.252;
;390603;San miguel III;172.16.15.254;172.16.15.8;255.255.255.0;
El Tule > El Coyolito;391604;El Tule;172.17.16.6;172.17.16.5;255.255.255.252;
;391029;El Coyolito;172.17.18.134;172.17.18.130;255.255.255.248;
Nueva Trinidad  CHA > Los Ranchos;391019;Nueva Trinidad;172.17.18.99;172.17.18.97;255.255.255.248;
;391021;San antonio los ranchos;172.17.18.94;172.17.18.70;255.255.255.224;
San Isidro Labrador CHA > Los Ranchos;391017;San Isidro Labrador;172.17.16.162;172.17.16.161;255.255.255.252;
;391021;San antonio los ranchos;172.17.18.94;172.17.18.71;255.255.255.224;
San Atonio de la Cruz CHA > Los Ranchos;391013;San Antonio de la Cruz;172.17.16.166;172.17.16.165;255.255.255.252;
;391021;San antonio los ranchos;172.17.18.94;172.17.18.72;255.255.255.224;
Dulce Nombre de Mar¡a CHA > Aguilares;391005;Dulce Nombre de Maria;172.17.16.170;172.17.16.169;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.42;255.255.255.0;
Comalapa CHA > Aguilares;#N/D;Comalapa CHA;172.17.16.174;172.17.16.173;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.43;255.255.255.0;
San Francisco Lempa CHA  > Aguilares;#N/D;San Francisco Lempa CHA;172.17.16.178;172.17.16.177;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.44;255.255.255.0;
Santa Rita CHA > Aguilares;391011;Santa Rita;172.17.16.182;172.17.16.181;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.45;255.255.255.0;
San Rafael CHA > Aguilares;391006;San Rafael;172.17.16.186;172.17.16.185;255.255.255.252;
;391572;Aguilares;172.17.17.254;172.17.17.46;255.255.255.0;
La Palma 2 > Miramundo;391032;La Palma 2;172.17.4.66;172.17.4.65;255.255.255.252;
;391026;Miramundo;172.16.2.254;172.16.2.19;255.255.255.0;
La Reina CHA > Miramundo;391023;La Reina;172.17.5.102;172.17.5.97;255.255.255.248;
;391026;Miramundo;172.16.2.254;172.16.2.20;255.255.255.0;
Sacare > La Reina CHA;391031;Sacare;172.17.4.70;172.17.4.69;255.255.255.252;
;391023;La Reina;172.17.5.102;172.17.5.98;255.255.255.248;
